Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f03_3.pth,v3,f_03,10000,0,[5.         3.87693948],[3.82224132 4.14976484],1.20895,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,1,[4.9314527  3.85788419],[3.82366066 4.149526  ],1.14554,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,2,[4.92843933 3.86424704],[3.82334226 4.15010762],1.14147,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,3,[4.93101538 3.85839063],[3.82302994 4.15176284],1.14617,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,0,[4.67702991 4.03925086],[3.82224132 4.14976484],0.8619,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,1,[4.67671306 4.03925301],[3.82366066 4.149526  ],0.86015,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,2,[4.67822031 4.03860772],[3.82334226 4.15010762],0.86212,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,3,[4.65726083 4.04575387],[3.82302994 4.15176284],0.84094,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,0,[5.         4.17748502],[3.82224132 4.14976484],1.17808,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,1,[5.         4.17748965],[3.82366066 4.149526  ],1.17667,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,2,[5.         4.17748399],[3.82334226 4.15010762],1.17698,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,3,[5.         4.17752107],[3.82302994 4.15176284],1.17725,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,0,[-0.02987775 -0.60892966],[ 1.30835906 -1.15355239],1.44482,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,1,[-2.67971478  5.        ],[-2.80355733  2.32835582],2.67451,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,2,[-2.6797966  5.       ],[-2.69358288  2.98277696],2.01727,PSO
models/v3/training_v3_f24_1.pth,v3,f_24,100,3,[-2.67975259  5.        ],[-2.57577719  3.17464319],1.82832,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,0,[-5.          3.40432564],[ 1.30835906 -1.15355239],7.78265,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,1,[-5.         3.4043049],[-2.80355733  2.32835582],2.44582,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,2,[ 0.88531968 -0.67825768],[-2.69358288  2.98277696],5.11974,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,3,[ 0.93737993 -0.77999725],[-2.57577719  3.17464319],5.28975,PSO
models/v3/training_v3_f24_3.pth,v3,f_24,10000,0,[ 1.26421637 -0.92859582],[ 1.30835906 -1.15355239],0.22925,PSO
