Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f24_2.pth,v1,f_24,1000,10,[-2.24975892  5.        ],[ 0.97897427 -1.27960329],7.06103,11.41873906302925,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,11,[ 2.14388565 -1.56043772],[-2.9052496  3.0510861],6.83812,11.412052111815951,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,12,[ 2.14342194 -1.56020657],[-3.52089956  2.90809621],7.21459,11.405536648358197,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,13,[ 2.14358648 -1.56158051],[-3.21402971  2.12561632],6.5038,11.399166201863235,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,14,[ 2.14299452 -1.56021793],[-2.42116662  3.01406402],6.46186,11.392354116834712,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,15,[ 2.14362411 -1.56292436],[-2.81033396  2.79590028],6.59856,11.385362912347489,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,16,[ 2.1431759  -1.56189637],[ 1.35088107 -1.50955608],0.79402,11.378563422755045,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,17,[ 2.14318404 -1.56135551],[-1.70120892  2.8927296 ],5.88373,11.372255884920891,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,18,[ 2.14394774 -1.56055701],[-2.74087194  2.88343508],6.60383,11.36572060679292,PSO
models/v1/training_v1_f24_2.pth,v1,f_24,1000,19,[ 2.14334987 -1.56227012],[-2.37230495  3.11537579],6.50165,11.360888336995966,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,0,[ 1.37247035 -1.8418989 ],[ 1.30835906 -1.15355239],0.69133,10.040276796871304,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,1,[ 1.55420334 -1.08730159],[-2.80355733  2.32835582],5.53686,10.040118313631544,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,2,[ 1.55515391 -1.09102827],[-2.69358288  2.98277696],5.88623,10.038452296924616,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,3,[ 1.37316698 -1.8420629 ],[-2.57577719  3.17464319],6.38447,10.035924321742995,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,4,[ 1.36967879 -1.8368069 ],[-2.38036236  2.65794006],5.85368,10.033481569032382,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,5,[-3.01351476  2.43637152],[ 1.15382497 -0.99217597],5.39645,10.03365684480828,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,6,[ 1.37335146 -1.84184929],[-2.18133046  3.38867994],6.3241,10.03339537227649,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,7,[ 1.3707271  -1.83772684],[-3.30791779  2.84248425],6.61771,10.032245294247645,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,8,[ 1.37036751 -1.83827879],[-2.41722202  2.54958253],5.79648,10.032017054360258,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,9,[ 1.36656304 -1.83149129],[ 0.86864783 -1.01056625],0.96012,10.03136915383794,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,10,[ 1.37229927 -1.84206162],[ 0.97897427 -1.27960329],0.68634,10.03104353299142,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,11,[ 1.37339261 -1.84268672],[-2.9052496  3.0510861],6.50045,10.031826939440187,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,12,[ 1.37298304 -1.84176985],[-3.52089956  2.90809621],6.81992,10.030729342219665,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,13,[-3.01490602  2.4368652 ],[-3.21402971  2.12561632],0.36949,10.029860578454496,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,14,[ 1.37015005 -1.83615994],[-2.42116662  3.01406402],6.1562,10.030473501229952,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,15,[ 1.37234647 -1.84073354],[-2.81033396  2.79590028],6.24445,10.030625623464275,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,16,[-3.01358514  2.43632142],[ 1.35088107 -1.50955608],5.88375,10.03019935123941,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,17,[ 1.37218521 -1.84100116],[-1.70120892  2.8927296 ],5.64393,10.029843047184634,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,18,[ 1.37284195 -1.84144432],[-2.74087194  2.88343508],6.26475,10.02967740003848,PSO
models/v1/training_v1_f24_3.pth,v1,f_24,10000,19,[ 1.37080869 -1.83702587],[-2.37230495  3.11537579],6.20783,10.028521936996775,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,0,[3.59052843 5.        ],[3.81938199 4.15056568],0.87972,1.4290465340690381,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,1,[3.5905256 5.       ],[3.81990017 4.15192244],0.87855,1.4373830899924223,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,2,[3.59053071 5.        ],[3.82565229 4.14996556],0.88195,1.4457481308212679,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,3,[3.59046567 5.        ],[3.8242938 4.1530502],0.87864,1.454062460036005,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,4,[3.59048383 5.        ],[3.82214224 4.15300585],0.8781,1.4621706476039802,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,5,[3.59053413 5.        ],[3.82254865 4.15111349],0.88002,1.4703718511031645,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,6,[3.59045201 5.        ],[3.82326788 4.14955734],0.88173,1.4778400884643352,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,7,[3.59053225 5.        ],[3.82246657 4.15132889],0.87979,1.4852067361068224,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,8,[3.59049929 5.        ],[3.82014005 4.15171486],0.87882,1.4927704928088918,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,9,[3.59048526 5.        ],[3.82154437 4.15065163],0.88022,1.5006857779546177,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,10,[3.5905532 5.       ],[3.82051594 4.15228133],0.87836,1.5080943732621326,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,11,[3.59049628 5.        ],[3.81897771 4.15004967],0.88012,1.5153444631628317,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,12,[3.59054387 5.        ],[3.82104622 4.14879798],0.88186,1.5222178736691154,PSO
