Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v3/training_v3_f24_2.pth,v3,f_24,1000,2,[-0.271682  -1.2524933],[-0.12868271 -1.56370597],0.34249,BasinHopping
models/v3/training_v3_f24_2.pth,v3,f_24,1000,3,[ 0.56218199 -0.72725755],[ 0.63566148 -1.52258357],0.79871,BasinHopping
models/v3/training_v3_f24_3.pth,v3,f_24,10000,0,[-0.9668525   1.05444158],[-1.09953118  0.41187654],0.65612,BasinHopping
models/v3/training_v3_f24_3.pth,v3,f_24,10000,1,[-1.4882854   1.01419219],[-1.95942509  1.60086524],0.75243,BasinHopping
models/v3/training_v3_f24_3.pth,v3,f_24,10000,2,[-1.55240804  1.06389953],[-0.12868271 -1.56370597],2.98853,BasinHopping
models/v3/training_v3_f24_3.pth,v3,f_24,10000,3,[ 1.13669396 -0.92076569],[ 0.63566148 -1.52258357],0.78308,BasinHopping
models/v3/training_v3_f24_4.pth,v3,f_24,100000,0,[-2.04011278  0.43390038],[-1.09953118  0.41187654],0.94084,BasinHopping
models/v3/training_v3_f24_4.pth,v3,f_24,100000,1,[-2.9562651   4.92758844],[-1.95942509  1.60086524],3.47286,BasinHopping
models/v3/training_v3_f24_4.pth,v3,f_24,100000,2,[-2.13888176  0.73998983],[-0.12868271 -1.56370597],3.05744,BasinHopping
models/v3/training_v3_f24_4.pth,v3,f_24,100000,3,[ 1.50640925 -1.27659892],[ 0.63566148 -1.52258357],0.90483,BasinHopping
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,0,[ 0.50837575 -1.97945227],[-1.09953118  0.41187654],2.88163,BasinHopping
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,1,[-1.93284275  2.31155318],[-1.95942509  1.60086524],0.71118,BasinHopping
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,2,[ 0.89515536 -1.39188082],[-0.12868271 -1.56370597],1.03816,BasinHopping
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,3,[ 0.87253508 -1.20158849],[ 0.63566148 -1.52258357],0.39893,BasinHopping
